K,Training Error,Testing Error,,,,,,,
2,"	1573924.68304","	2561067.25827",,,,,,,
3,"	1183732.39644","	1943579.17195",,,,,,,
4,"	963136.94675","	1376801.34501",,,,,,1,100
5,"	807979.330478","	1140619.20234",,,,,,2,150
6,"	693799.560081","	1032843.6728",,,,,,3,200
7,"	607154.072519","	890471.728343",,,,,,,
8,"	554404.300289","	785870.467294",,,,,,,
9,"	503989.063919","	757765.018108",,,,,,,
10,"	467973.521365","	674523.000388",,,,,,,
11,"	435333.767857","	641507.328557",,,,,,,
12,"	410553.288134","	602629.677151",,,,,,,
13,"	389663.996063","	563774.181605",,,,,,,
14,"	368592.391256","	529009.326501",,,,,,,
15,"	351460.160731","	499209.038105",,,,,,,
16,"	334877.652657","	483141.702936",,,,,,,
17,"	319118.019952","	442419.906102",,,,,,,
18,"	305674.554599","	428048.46471",,,,,,,
19,"	294438.398776","	410687.231045",,,,,,,
20,"	284101.925102","	389132.33092",,,,,,,
21,"	275960.568258","	376544.446586",,,,,,,
22,"	267025.335163","	373750.322711",,,,,,,
23,"	259714.502329","	364288.469193",,,,,,,
24,"	252020.137283","	351279.953523",,,,,,,
25,"	244949.151804","	349868.287833",,,,,,,
26,"	239517.981408","	336972.740253",,,,,,,
27,"	233592.150937","	335384.333622",,,,,,,
28,"	228880.229885","	333846.758018",,,,,,,
29,"	225105.14482","	318792.903135",,,,,,,
30,"	220340.387581","	309763.412453",,,,,,,
31,"	214982.668182","	303862.636661",,,,,,,
32,"	211619.473023","	309109.275428",,,,,,,
33,"	208136.921167","	303001.455029",,,,,,,
34,"	203698.519409","	301404.734793",,,,,,,
35,"	201192.815098","	278616.366056",,,,,,,
36,"	196467.160628","	293347.38111",,,,,,,
37,"	193621.977256","	285040.789241",,,,,,,
38,"	190045.914682","	274535.520561",,,,,,,
39,"	186681.990685","	269251.925095",,,,,,,
40,"	183545.074232","	270475.125552",,,,,,,
41,"	182230.572659","	268519.931053",,,,,,,
42,"	178666.351467","	265598.432422",,,,,,,
43,"	176031.937354","	256663.912469",,,,,,,
44,"	173086.946747","	255590.222183",,,,,,,
45,"	171067.511766","	253338.782392",,,,,,,
46,"	168291.798187","	244232.446148",,,,,,,
47,"	165570.356863","	244843.080019",,,,,,,
48,"	163745.746564","	238940.897572",,,,,,,
49,"	161476.791757","	240237.624351",,,,,,,
50,"	158914.139938","	235413.396048",,,,,,,
51,"	158059.193892","	228250.473882",,,,,,,
52,"	155175.929669","	227265.83758",,,,,,,
53,"	153904.075075","	224655.423726",,,,,,,
54,"	153294.774996","	230258.179924",,,,,,,
55,"	150274.796361","	222144.606728",,,,,,,
56,"	148487.835262","	220074.800245",,,,,,,
57,"	147109.65753","	211882.321521",,,,,,,
58,"	145510.525225","	214439.497736",,,,,,,
59,"	144951.331745","	215805.089302",,,,,,,
60,"	142150.795436","	211499.295196",,,,,,,
61,"	140306.447312","	207320.842262",,,,,,,
62,"	139566.058705","	209116.106042",,,,,,,
63,"	138309.576333","	202557.252774",,,,,,,
64,"	136949.512655","	201628.809773",,,,,,,
65,"	135598.091726","	202546.500938",,,,,,,
66,"	134377.711923","	200603.112491",,,,,,,
67,"	133217.750099","	199038.74879",,,,,,,
68,"	132458.179181","	201238.08625",,,,,,,
69,"	130212.414049","	195510.147765",,,,,,,
70,"	129756.535575","	199416.014597",,,,,,,
71,"	128598.968688","	195628.917065",,,,,,,
72,"	126998.802643","	191105.678621",,,,,,,
73,"	126134.500786","	189216.566298",,,,,,,
74,"	125080.3947","	191805.716546",,,,,,,
75,"	124255.090763","	186859.726806",,,,,,,
76,"	122721.072875","	186192.926701",,,,,,,
77,"	122609.626334","	187863.793165",,,,,,,
78,"	121133.649311","	186594.005781",,,,,,,
79,"	120724.047387","	181612.476737",,,,,,,
80,"	120059.391985","	181871.399049",,,,,,,
81,"	119341.071653","	184497.16581",,,,,,,
82,"	117467.884815","	178082.133663",,,,,,,
83,"	117116.073293","	178885.769611",,,,,,,
84,"	116842.244641","	178912.730245",,,,,,,
85,"	115172.003554","	180582.903856",,,,,,,
86,"	114904.453129","	174820.055488",,,,,,,
87,"	114341.03636","	171825.100345",,,,,,,
88,"	113112.865078","	175436.237699",,,,,,,
89,"	112738.043711","	169037.899239",,,,,,,
90,"	111720.334039","	170095.659885",,,,,,,
91,"	110839.312581","	170104.642186",,,,,,,
92,"	110262.927858","	169831.402563",,,,,,,
93,"	109698.490264","	168444.799886",,,,,,,
94,"	108741.405613","	166907.900219",,,,,,,
95,"	107943.499385","	165849.594046",,,,,,,
96,"	108062.038123","	164403.97894",,,,,,,
97,"	106968.897915","	165439.943822",,,,,,,
98,"	106041.321688","	163090.524995",,,,,,,
99,"	105561.996849","	161391.045359",,,,,,,
100,"	105282.204764","	162137.712727",,,,,,,